seed,task_name,task_id,num_simulations,log_probs_ratio_mean,log_probs_auto_mean,log_corr,exp_corr
3,gaussian_linear,4,300,0.5941449999809265,1.3751864433288574,0.8349286812157138,0.558057969873001
3,gaussian_linear,4,1000,0.9217656254768372,1.495964527130127,0.8097640423734505,0.6265005946750412
3,gaussian_linear,4,3000,0.4617695212364197,1.380375623703003,0.8641608786613996,0.6551797952549242
3,gaussian_linear,4,10000,0.3212219178676605,1.3739022016525269,0.856663644754782,0.6816363081933268
3,gaussian_linear,5,100,0.3669830560684204,1.399519920349121,0.834996205305367,0.607641594397789
3,gaussian_linear,5,300,0.3412972688674927,1.5758435726165771,0.879483833220046,0.6740839044752788
3,gaussian_linear,5,1000,0.6835198998451233,1.3362256288528442,0.9157281298933365,0.7028898350861954
3,gaussian_linear,5,3000,0.249574214220047,1.3340835571289062,0.8490350071238516,0.5781487124652566
3,gaussian_linear,5,10000,0.44477903842926025,1.3247284889221191,0.922413162068816,0.717813687517383
4,gaussian_linear,3,100,-0.06295452266931534,1.1185355186462402,0.8457401720556358,0.5775155188658623
4,gaussian_linear,3,300,0.5272495150566101,1.5698667764663696,0.8378604177647757,0.6338885220000151
4,gaussian_linear,3,1000,0.7653488516807556,1.5124428272247314,0.8691788313015636,0.5492120495069831
4,gaussian_linear,3,3000,0.5451453328132629,1.3369295597076416,0.8478526554702494,0.6724802633683046
4,gaussian_linear,3,10000,0.5823342800140381,1.3131276369094849,0.8859080671271813,0.7189260798070956
4,gaussian_linear,4,100,-0.20421455800533295,1.260125994682312,0.8167280155488451,0.4435674224037521
4,gaussian_linear,4,300,0.31987378001213074,1.2929019927978516,0.8599264065979508,0.6819816012197684
4,gaussian_linear,4,1000,0.059633899480104446,1.165419101715088,0.9034917876950564,0.6628763743203953
4,gaussian_linear,4,3000,0.6288518905639648,1.494212031364441,0.8912188728652112,0.6066347121787652
4,gaussian_linear,4,10000,0.18969111144542694,1.3409403562545776,0.8772778299549686,0.6244472675917818
4,gaussian_linear,5,100,0.1821320503950119,1.2985438108444214,0.8523028703235473,0.659876273838421
4,gaussian_linear,5,300,0.38639628887176514,1.2598226070404053,0.8665892821432766,0.6667912930696707
4,gaussian_linear,5,1000,0.46731260418891907,1.3246303796768188,0.8538420718184411,0.6556537210914998
4,gaussian_linear,5,3000,-0.1345471739768982,1.3611514568328857,0.8924939218240554,0.6847842712753606
4,gaussian_linear,5,10000,0.5503277778625488,1.3450554609298706,0.9147432825687456,0.6902433795931139
